Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.56.2-192.168.56.3-1828-80-6,192.168.56.2,1828,192.168.56.3,80,6,03/04/2026 04:00:13 PM,674,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4451.038575667656,337.0,455.3767670841366,659.0,15.0,674.0,674.0,0.0,674.0,674.0,0,0,0,0,0,0,0,0,0,40,24,2967.359050445104,1483.679525222552,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,64240,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.2-192.168.56.3-1829-80-6,192.168.56.2,1829,192.168.56.3,80,6,03/04/2026 04:00:13 PM,643,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4665.629860031104,321.5,433.4564568673536,628.0,15.0,643.0,643.0,0.0,643.0,643.0,0,0,0,0,0,0,0,0,0,40,24,3110.4199066874025,1555.2099533437013,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,64240,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.2-192.168.56.3-1830-80-6,192.168.56.2,1830,192.168.56.3,80,6,03/04/2026 04:00:13 PM,661,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4538.57791225416,330.5,447.59859249108456,647.0,14.0,661.0,661.0,0.0,661.0,661.0,0,0,0,0,0,0,0,0,0,40,24,3025.7186081694404,1512.8593040847202,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,64240,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.2-192.168.56.3-1831-80-6,192.168.56.2,1831,192.168.56.3,80,6,03/04/2026 04:00:13 PM,970,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3092.783505154639,485.0,482.2468247692254,826.0,144.0,970.0,970.0,0.0,970.0,970.0,0,0,0,0,0,0,0,0,0,40,24,2061.8556701030925,1030.9278350515463,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,64240,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.2-192.168.56.3-1832-80-6,192.168.56.2,1832,192.168.56.3,80,6,03/04/2026 04:00:13 PM,1238,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2423.263327948304,619.0,824.4865068635144,1202.0,36.0,1238.0,1238.0,0.0,1238.0,1238.0,0,0,0,0,0,0,0,0,0,40,24,1615.5088852988692,807.7544426494346,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,64240,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.2-192.168.56.3-1833-80-6,192.168.56.2,1833,192.168.56.3,80,6,03/04/2026 04:00:13 PM,1238,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2423.263327948304,619.0,667.5088014401009,1091.0,147.0,1238.0,1238.0,0.0,1238.0,1238.0,0,0,0,0,0,0,0,0,0,40,24,1615.5088852988692,807.7544426494346,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,64240,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.2-192.168.56.3-1834-80-6,192.168.56.2,1834,192.168.56.3,80,6,03/04/2026 04:00:13 PM,1239,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2421.3075060532688,619.5,536.6940469205896,999.0,240.0,1239.0,1239.0,0.0,1239.0,1239.0,0,0,0,0,0,0,0,0,0,40,24,1614.2050040355125,807.1025020177563,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,64240,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.2-192.168.56.3-1835-80-6,192.168.56.2,1835,192.168.56.3,80,6,03/04/2026 04:00:13 PM,1163,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2579.535683576956,581.5,796.909342397239,1145.0,18.0,1163.0,1163.0,0.0,1163.0,1163.0,0,0,0,0,0,0,0,0,0,40,24,1719.6904557179707,859.8452278589854,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,64240,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.2-192.168.56.3-1836-80-6,192.168.56.2,1836,192.168.56.3,80,6,03/04/2026 04:00:13 PM,637,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4709.576138147567,318.5,422.14274836836887,617.0,20.0,637.0,637.0,0.0,637.0,637.0,0,0,0,0,0,0,0,0,0,40,24,3139.717425431711,1569.8587127158555,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,64240,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.2-192.168.56.3-1837-80-6,192.168.56.2,1837,192.168.56.3,80,6,03/04/2026 04:00:13 PM,1254,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2392.3444976076557,627.0,858.4276323604687,1234.0,20.0,1254.0,1254.0,0.0,1254.0,1254.0,0,0,0,0,0,0,0,0,0,40,24,1594.896331738437,797.4481658692185,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,64240,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
